CustomerID,Frequency,Monetary,Recency
12347.0,8,5633.3199999999915,2
12348.0,5,2019.4,75
12349.0,5,4404.540000000003,19
12350.0,1,334.40000000000003,310
12351.0,1,300.93,375
12352.0,13,1889.2100000000003,36
12353.0,2,406.75999999999993,204
12354.0,1,1079.4,232
12355.0,2,947.61,214
12356.0,6,6373.679999999995,23
12357.0,3,18287.659999999993,33
12358.0,5,3887.070000000003,2
12359.0,14,8714.889999999996,8
12360.0,9,4212.890000000001,52
12361.0,4,511.24999999999994,287
12362.0,14,5284.580000000002,3
12363.0,2,552.0,110
12364.0,4,1313.1000000000001,8
12365.0,3,320.69,291
12366.0,1,500.24,634
12367.0,1,168.9,4
12368.0,1,917.6999999999999,628
12369.0,3,1791.15,413
12370.0,7,4320.309999999998,51
12371.0,5,4067.3799999999983,45
12372.0,3,1298.0400000000002,72
12373.0,3,1127.65,311
12374.0,4,2989.2200000000007,25
12375.0,3,455.42000000000013,3
12376.0,2,503.15,390
12377.0,4,3426.319999999998,315
12378.0,2,5416.32,130
12379.0,5,1618.27,82
12380.0,15,7888.0000000000055,22
12381.0,6,1803.9600000000005,5
12383.0,6,1839.3099999999997,185
12384.0,3,566.16,29
12385.0,2,1923.3999999999999,379
12386.0,2,660.8,338
12387.0,1,143.94,415
12388.0,8,3901.110000000001,16
12389.0,3,1433.33,403
12390.0,1,549.8399999999999,80
12391.0,7,2747.8199999999943,22
12392.0,1,234.75000000000003,591
12393.0,7,2376.7499999999995,72
12394.0,2,1272.48,64
12395.0,18,5046.919999999996,16
12396.0,1,931.4300000000006,674
12397.0,2,2409.9000000000005,36
12398.0,1,1635.6599999999999,46
12399.0,7,1962.3000000000013,119
12400.0,1,205.25,414
12401.0,1,84.3,303
12402.0,7,1244.1500000000003,323
12403.0,3,1001.36,50
12404.0,1,63.24,682
12405.0,1,1710.3900000000006,149
12406.0,7,6072.209999999998,22
12407.0,5,1708.1199999999997,50
12408.0,14,4279.640000000002,33
12409.0,13,23090.46999999999,79
12410.0,4,1001.4599999999999,301
12411.0,1,346.9,410
12412.0,8,2581.0300000000016,75
12413.0,6,935.4999999999998,67
12414.0,8,692.41,217
12415.0,33,143269.28999999978,24
12416.0,1,202.56,657
12417.0,27,6708.21,3
12418.0,5,2016.9500000000003,113
12419.0,2,503.01,386
12420.0,1,600.3900000000001,64
12421.0,8,1092.83,16
12422.0,21,4119.349999999998,96
12423.0,11,2612.1899999999987,1
12424.0,7,3289.78,163
12425.0,3,1680.8099999999995,78
12426.0,3,1311.4100000000003,195
12427.0,5,1011.8700000000001,12
12428.0,12,7877.200000000004,26
12429.0,9,7435.509999999997,9
12430.0,1,256.4,43
12431.0,33,10719.409999999989,36
12432.0,5,5059.3200000000015,43
12433.0,11,20428.86000000001,1
12434.0,5,1062.4799999999996,85
12435.0,6,13925.930000000008,80
12436.0,1,509.01000000000005,100
12437.0,47,12394.850000000002,2
12438.0,2,2906.8500000000004,14
12439.0,3,1104.48,683
12440.0,3,768.1500000000002,457
12441.0,1,347.09999999999997,367
12442.0,1,172.06,3
12443.0,1,485.31000000000006,732
12444.0,5,5005.46,21
12445.0,3,426.47999999999996,22
12446.0,1,1002.3099999999998,58
12447.0,1,476.49,243
12448.0,1,449.4500000000001,44
12449.0,6,4835.889999999999,22
12450.0,7,666.9499999999999,156
12451.0,10,12546.52999999999,11
12452.0,3,428.57000000000005,17
12453.0,1,707.0899999999999,134
12454.0,9,4292.709999999999,53
12455.0,10,5879.950000000002,73
12456.0,4,3153.889999999998,44
12457.0,14,2472.3099999999995,58
12458.0,4,1777.4900000000002,71
12459.0,1,454.3599999999999,605
12460.0,1,326.65,456
12461.0,2,826.8800000000001,94
12462.0,4,1124.0099999999998,2
12463.0,7,1303.6299999999997,46
12464.0,8,1212.0499999999997,10
12465.0,3,733.8900000000001,8
12466.0,1,56.73,682
12468.0,10,3624.550000000001,143
12469.0,2,3070.539999999998,523
12470.0,1,211.95000000000002,690
12471.0,129,37948.60999999999,2
12472.0,37,16956.690000000017,31
12473.0,9,2848.2299999999996,29
12474.0,54,11966.449999999999,17
12475.0,2,1149.64,54
12476.0,38,13715.61999999998,1
12477.0,12,20173.639999999996,23
12478.0,1,680.9900000000002,4
12479.0,3,477.30000000000007,4
12480.0,8,5435.100000000001,28
12481.0,18,12217.02999999999,23
12482.0,32,21893.529999999984,450
12483.0,27,4846.869999999998,17
12484.0,16,6303.850000000001,33
12485.0,1,708.0999999999999,529
12486.0,1,1037.2800000000002,432
12487.0,2,259.79999999999995,731
12488.0,3,1298.6599999999999,10
12489.0,1,334.92999999999995,336
12490.0,22,9818.64000000001,5
12491.0,1,460.4000000000001,39
12492.0,3,715.2100000000002,63
12493.0,3,416.79,166
12494.0,17,1743.5200000000007,10
12495.0,2,323.4,635
12496.0,2,54.09,620
12497.0,4,6211.75,82
12498.0,3,403.7,21
